Plant,PlantProductMesh,element_code,PeriodKey,Rate,Qty,Cost,rate_fill_flag,Forecasted_Qty,MembrainProductMesh
EUF,CARBOLITE NRT 16/30 Bulk Bag,R&M Labor,2026-03,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,R&M Labor,2026-04,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,R&M Labor,2026-05,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,R&M Labor,2026-06,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,R&M Labor,2026-07,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,R&M Labor,2026-08,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,R&M Labor,2026-09,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,R&M Labor,2026-10,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,R&M Labor,2026-11,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,R&M Labor,2026-12,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Supervision,2025-11,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Supervision,2025-12,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Supervision,2026-01,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Supervision,2026-02,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Supervision,2026-03,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Supervision,2026-04,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Supervision,2026-05,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Supervision,2026-06,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Supervision,2026-07,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Supervision,2026-08,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Supervision,2026-09,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Supervision,2026-10,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Supervision,2026-11,0.0,0.0,,original,,
EUF,CARBOLITE NRT 16/30 Bulk Bag,Supervision,2026-12,0.0,0.0,,original,,
EUF,CARBOLITE NRT 20/40,Depreciation,2025-11,0.004,0.0,,carry_back_all_zero_period,,
EUF,CARBOLITE NRT 20/40,Depreciation,2025-12,0.004,0.0,,carry_back_all_zero_period,,
EUF,CARBOLITE NRT 20/40,Depreciation,2026-01,0.004,0.0,,carry_back_all_zero_period,,
EUF,CARBOLITE NRT 20/40,Depreciation,2026-02,0.004,0.0,,carry_back_all_zero_period,,
EUF,CARBOLITE NRT 20/40,Depreciation,2026-03,0.004,0.0,,carry_back_all_zero_period,,
EUF,CARBOLITE NRT 20/40,Depreciation,2026-04,0.004,0.0,,carry_back_all_zero_period,,
EUF,CARBOLITE NRT 20/40,Depreciation,2026-05,0.004,2250.0,8256.0,original,2064000,CARBONRT CL 20/40
EUF,CARBOLITE NRT 20/40,Depreciation,2026-06,0.004,0.0,,carry_forward_all_zero_period,,
EUF,CARBOLITE NRT 20/40,Depreciation,2026-07,0.004,0.0,,carry_forward_all_zero_period,,
EUF,CARBOLITE NRT 20/40,Depreciation,2026-08,0.004,0.0,358.40000000000003,carry_forward_all_zero_period,89600,CARBOLITE NRT 20/40
EUF,CARBOLITE NRT 20/40,Depreciation,2026-09,0.004,0.0,,carry_forward_all_zero_period,,
EUF,CARBOLITE NRT 20/40,Depreciation,2026-10,0.004,0.0,,carry_forward_all_zero_period,,
EUF,CARBOLITE NRT 20/40,Depreciation,2026-11,0.004,0.0,,carry_forward_all_zero_period,,
EUF,CARBOLITE NRT 20/40,Depreciation,2026-12,0.004,0.0,,carry_forward_all_zero_period,,
EUF,CARBOLITE NRT 20/40,Electricity,2025-11,0.013,0.0,,carry_back_all_zero_period,,
EUF,CARBOLITE NRT 20/40,Electricity,2025-12,0.013,0.0,,carry_back_all_zero_period,,
EUF,CARBOLITE NRT 20/40,Electricity,2026-01,0.013,0.0,,carry_back_all_zero_period,,
EUF,CARBOLITE NRT 20/40,Electricity,2026-02,0.013,0.0,,carry_back_all_zero_period,,
EUF,CARBOLITE NRT 20/40,Electricity,2026-03,0.013,0.0,,carry_back_all_zero_period,,
EUF,CARBOLITE NRT 20/40,Electricity,2026-04,0.013,0.0,,carry_back_all_zero_period,,
EUF,CARBOLITE NRT 20/40,Electricity,2026-05,0.013,2250.0,26832.0,original,2064000,CARBONRT CL 20/40
EUF,CARBOLITE NRT 20/40,Electricity,2026-06,0.013,0.0,,carry_forward_all_zero_period,,
EUF,CARBOLITE NRT 20/40,Electricity,2026-07,0.013,0.0,,carry_forward_all_zero_period,,
EUF,CARBOLITE NRT 20/40,Electricity,2026-08,0.013,0.0,1164.8,carry_forward_all_zero_period,89600,CARBOLITE NRT 20/40
EUF,CARBOLITE NRT 20/40,Electricity,2026-09,0.013,0.0,,carry_forward_all_zero_period,,
EUF,CARBOLITE NRT 20/40,Electricity,2026-10,0.013,0.0,,carry_forward_all_zero_period,,
EUF,CARBOLITE NRT 20/40,Electricity,2026-11,0.013,0.0,,carry_forward_all_zero_period,,
EUF,CARBOLITE NRT 20/40,Electricity,2026-12,0.013,0.0,,carry_forward_all_zero_period,,
EUF,CARBOLITE NRT 20/40,Gas,2025-11,0.024,0.0,,carry_back_all_zero_period,,
EUF,CARBOLITE NRT 20/40,Gas,2025-12,0.024,0.0,,carry_back_all_zero_period,,
EUF,CARBOLITE NRT 20/40,Gas,2026-01,0.024,0.0,,carry_back_all_zero_period,,
EUF,CARBOLITE NRT 20/40,Gas,2026-02,0.024,0.0,,carry_back_all_zero_period,,
EUF,CARBOLITE NRT 20/40,Gas,2026-03,0.024,0.0,,carry_back_all_zero_period,,
EUF,CARBOLITE NRT 20/40,Gas,2026-04,0.024,0.0,,carry_back_all_zero_period,,
EUF,CARBOLITE NRT 20/40,Gas,2026-05,0.024,2250.0,49536.0,original,2064000,CARBONRT CL 20/40
EUF,CARBOLITE NRT 20/40,Gas,2026-06,0.024,0.0,,carry_forward_all_zero_period,,
EUF,CARBOLITE NRT 20/40,Gas,2026-07,0.024,0.0,,carry_forward_all_zero_period,,
EUF,CARBOLITE NRT 20/40,Gas,2026-08,0.024,0.0,2150.4,carry_forward_all_zero_period,89600,CARBOLITE NRT 20/40
EUF,CARBOLITE NRT 20/40,Gas,2026-09,0.024,0.0,,carry_forward_all_zero_period,,
EUF,CARBOLITE NRT 20/40,Gas,2026-10,0.024,0.0,,carry_forward_all_zero_period,,
EUF,CARBOLITE NRT 20/40,Gas,2026-11,0.024,0.0,,carry_forward_all_zero_period,,
EUF,CARBOLITE NRT 20/40,Gas,2026-12,0.024,0.0,,carry_forward_all_zero_period,,
EUF,CARBOLITE NRT 20/40,Indirect Labor,2025-11,0.014,0.0,,carry_back_all_zero_period,,
EUF,CARBOLITE NRT 20/40,Indirect Labor,2025-12,0.014,0.0,,carry_back_all_zero_period,,
EUF,CARBOLITE NRT 20/40,Indirect Labor,2026-01,0.014,0.0,,carry_back_all_zero_period,,
EUF,CARBOLITE NRT 20/40,Indirect Labor,2026-02,0.014,0.0,,carry_back_all_zero_period,,
EUF,CARBOLITE NRT 20/40,Indirect Labor,2026-03,0.014,0.0,,carry_back_all_zero_period,,
EUF,CARBOLITE NRT 20/40,Indirect Labor,2026-04,0.014,0.0,,carry_back_all_zero_period,,
EUF,CARBOLITE NRT 20/40,Indirect Labor,2026-05,0.014,2250.0,28896.0,original,2064000,CARBONRT CL 20/40
EUF,CARBOLITE NRT 20/40,Indirect Labor,2026-06,0.014,0.0,,carry_forward_all_zero_period,,
EUF,CARBOLITE NRT 20/40,Indirect Labor,2026-07,0.014,0.0,,carry_forward_all_zero_period,,
EUF,CARBOLITE NRT 20/40,Indirect Labor,2026-08,0.014,0.0,1254.4,carry_forward_all_zero_period,89600,CARBOLITE NRT 20/40
EUF,CARBOLITE NRT 20/40,Indirect Labor,2026-09,0.014,0.0,,carry_forward_all_zero_period,,
EUF,CARBOLITE NRT 20/40,Indirect Labor,2026-10,0.014,0.0,,carry_forward_all_zero_period,,
EUF,CARBOLITE NRT 20/40,Indirect Labor,2026-11,0.014,0.0,,carry_forward_all_zero_period,,
EUF,CARBOLITE NRT 20/40,Indirect Labor,2026-12,0.014,0.0,,carry_forward_all_zero_period,,
EUF,CARBOLITE NRT 20/40,Insurance & Taxes,2025-11,0.009,0.0,,carry_back_all_zero_period,,
EUF,CARBOLITE NRT 20/40,Insurance & Taxes,2025-12,0.009,0.0,,carry_back_all_zero_period,,
EUF,CARBOLITE NRT 20/40,Insurance & Taxes,2026-01,0.009,0.0,,carry_back_all_zero_period,,
EUF,CARBOLITE NRT 20/40,Insurance & Taxes,2026-02,0.009,0.0,,carry_back_all_zero_period,,
EUF,CARBOLITE NRT 20/40,Insurance & Taxes,2026-03,0.009,0.0,,carry_back_all_zero_period,,
EUF,CARBOLITE NRT 20/40,Insurance & Taxes,2026-04,0.009,0.0,,carry_back_all_zero_period,,
EUF,CARBOLITE NRT 20/40,Insurance & Taxes,2026-05,0.009,2250.0,18576.0,original,2064000,CARBONRT CL 20/40
EUF,CARBOLITE NRT 20/40,Insurance & Taxes,2026-06,0.009,0.0,,carry_forward_all_zero_period,,
EUF,CARBOLITE NRT 20/40,Insurance & Taxes,2026-07,0.009,0.0,,carry_forward_all_zero_period,,
EUF,CARBOLITE NRT 20/40,Insurance & Taxes,2026-08,0.009,0.0,806.4,carry_forward_all_zero_period,89600,CARBOLITE NRT 20/40
EUF,CARBOLITE NRT 20/40,Insurance & Taxes,2026-09,0.009,0.0,,carry_forward_all_zero_period,,
EUF,CARBOLITE NRT 20/40,Insurance & Taxes,2026-10,0.009,0.0,,carry_forward_all_zero_period,,
EUF,CARBOLITE NRT 20/40,Insurance & Taxes,2026-11,0.009,0.0,,carry_forward_all_zero_period,,
EUF,CARBOLITE NRT 20/40,Insurance & Taxes,2026-12,0.009,0.0,,carry_forward_all_zero_period,,
EUF,CARBOLITE NRT 20/40,Manufacturing,2025-11,0.003,0.0,,carry_back_all_zero_period,,
